condition,requested_rate,model,final_top_k,sparse_top_k,corpus_dir,attack_documents,total_documents,total_chunks,attack_chunks,attack_chunk_ratio
"B_rate_000","0","gemma3:12b","2","30","/home/riceburger/workspace/capstone/testest/data/exp_corpus/final_strong_v4",0,60,60,0,0.0
"B_rate_001","0.01","gemma3:12b","2","30","/home/riceburger/workspace/capstone/testest/data/exp_corpus/final_strong_v4",1,61,61,1,0.01639344262295082
"B_rate_003","0.03","gemma3:12b","2","30","/home/riceburger/workspace/capstone/testest/data/exp_corpus/final_strong_v4",2,62,62,2,0.03225806451612903
"B_rate_005","0.05","gemma3:12b","2","30","/home/riceburger/workspace/capstone/testest/data/exp_corpus/final_strong_v4",3,63,63,3,0.047619047619047616
"B_rate_010","0.10","gemma3:12b","2","30","/home/riceburger/workspace/capstone/testest/data/exp_corpus/final_strong_v4",6,66,66,6,0.09090909090909091
"B_rate_020","0.20","gemma3:12b","2","30","/home/riceburger/workspace/capstone/testest/data/exp_corpus/final_strong_v4",12,72,72,12,0.16666666666666666
"B_rate_050","0.50","gemma3:12b","2","30","/home/riceburger/workspace/capstone/testest/data/exp_corpus/final_strong_v4",30,90,90,30,0.3333333333333333
"B_rate_100","1.0","gemma3:12b","2","30","/home/riceburger/workspace/capstone/testest/data/exp_corpus/final_strong_v4",60,120,120,60,0.5
